amfi_code,scheme_name,category,benchmark,alpha,beta,r_squared,p_value,std_err,n_obs
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,NIFTY 100 TRI,0.03747580763443282,-0.05826843143880895,0.0026650326981333275,0.08026442483699585,0.033282877789576594,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,CRISIL Short Term Bond Index,0.042817920315060876,0.0011582183155281454,1.4612842041845003e-05,0.8970124515162725,0.008946191727361887,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,NIFTY Midcap 150 TRI,0.2719535450128533,0.005103525830528331,1.2066520635068268e-05,0.9063691402409374,0.0433805404268303,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,NIFTY 100 TRI,0.21399784776051212,0.021086316250128002,0.0003480482030714242,0.5275509209180682,0.03336750375157688,1149
101207,ABSL Small Cap Fund - Regular - Growth,Equity,BSE 250 SmallCap TRI,0.10897091901704538,-0.06528924788351527,0.0010641052735572626,0.26923382859979944,0.05906585139524708,1149
101208,ABSL Liquid Fund - Regular - Growth,Debt,CRISIL Liquid Fund AI Index,0.060861457957871144,0.0002667096833823833,4.607623677105198e-05,0.8182140691419654,0.0011601351054846398,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,NIFTY 50 TRI,0.17048756803412696,-0.019486785689474546,0.0003828503073092389,0.5075948866942017,0.029400915178885982,1149
102886,UTI Mid Cap Fund - Regular - Growth,Equity,NIFTY Midcap 150 TRI,0.028969397866379445,-0.042125029021894314,0.0008964294600687576,0.31057770814660457,0.04152462310680975,1149
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,NIFTY 500 TRI,0.16211256794033255,0.016682689437770855,0.00018619166432850236,0.6440466770890046,0.03609639283424431,1149
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,NIFTY 100 TRI,0.21829397904608644,-0.00835383212696199,5.791756270127789e-05,0.7966457465470193,0.0324105438835402,1149
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,NIFTY 100 TRI,0.15643835948169668,-0.036639006718609354,0.0011382947171084277,0.25315678850632356,0.03204699436712703,1149
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,BSE 250 SmallCap TRI,0.1750072167561127,0.10349663691337586,0.0027930065610663234,0.07333892285784306,0.05774324797224454,1149
118635,Nippon India ETF Nifty 50 BeES,Equity,NIFTY 50 TRI,0.1513635464823924,-0.0014335213897801022,2.0253408972327574e-06,0.9615666405413452,0.02974219129299422,1149
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,CRISIL Dynamic Gilt Index,0.05074772999976104,0.0012566742731558612,1.651665231033315e-05,0.8905486864137577,0.009130118523202281,1149
119092,Axis Bluechip Fund - Regular - Growth,Equity,NIFTY 100 TRI,0.0689952982167755,0.009730745001153628,8.08263769381076e-05,0.7608083592013821,0.03195731437489773,1149
119093,Axis Bluechip Fund - Direct - Growth,Equity,NIFTY 100 TRI,0.08232801295222093,0.02588321244009314,0.0005692038090244865,0.4191212046285579,0.032024247449405394,1149
119094,Axis Midcap Fund - Regular - Growth,Equity,NIFTY Midcap 50 TRI,0.2607666908004223,-0.06626542862803761,0.0019368789369602344,0.13598752352498455,0.044415347937649056,1149
119095,Axis Small Cap Fund - Regular - Growth,Equity,BSE 250 SmallCap TRI,0.048015953637759554,-0.06695117463929204,0.001185159346448673,0.24360834209000326,0.057389258362368696,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,CRISIL Dynamic Gilt Index,0.05620895216638369,-0.006413850728276463,0.00043426033217200323,0.4803856630002876,0.009085895556734058,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,NIFTY 100 TRI,0.23201007160635082,-0.03175144113890976,0.0008869788879322832,0.31314302723084486,0.031465337983741765,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,NIFTY 100 TRI,0.1986859936686296,-0.02615930751351343,0.0005850821704543438,0.4127055818020538,0.031923390924810474,1149
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,BSE 250 SmallCap TRI,0.3033696538698332,-0.0231960620440597,0.00014142575502721724,0.6871791461096046,0.05758874143280733,1149
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,BSE 250 SmallCap TRI,0.048824215945539845,0.06200180438267165,0.0010259205326765954,0.27800396233826236,0.05712719081984045,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,NIFTY 100 TRI,0.17703302365844073,-0.040268952369820595,0.001397444608331861,0.20543745183411533,0.03178466640024182,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,NIFTY 100 TRI,0.2119482701352573,0.016232169761416993,0.00021216129075887427,0.6218551541356456,0.03290150146588934,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,NIFTY Midcap 150 TRI,0.2926358334175106,0.0005490042506317005,1.345534167566829e-07,0.9900902356906143,0.044192299843648974,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,NIFTY 500 TRI,0.1625385327998104,0.041896462728119754,0.0012571178108220728,0.22978488107543144,0.034868599753751,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,CRISIL Liquid Fund AI Index,0.06746210411099539,-0.0004440926329707225,0.00013430661440679811,0.6947484438507022,0.0011313943164611138,1149
120841,Kotak Bluechip Fund - Regular - Growth,Equity,NIFTY 100 TRI,0.13042924450705445,0.036356399022199816,0.0012113711061211877,0.2384593087156636,0.030824592340953676,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,NIFTY Midcap 150 TRI,0.0780443887615508,0.018056874208118145,0.00016915548838314332,0.6596465767530768,0.04099029861586007,1149
120843,Kotak Flexicap Fund - Regular - Growth,Equity,NIFTY 500 TRI,0.27330465038306057,-0.022829569792426566,0.0003430543427151455,0.5305284121437432,0.03638815632934553,1149
120844,Kotak Liquid Fund - Regular - Growth,Debt,CRISIL Liquid Fund AI Index,0.06455677495375998,-0.00040074423947840073,0.00010125435692271747,0.7333100820090802,0.0011758630169772715,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,NIFTY 100 TRI,0.17729754927531766,0.0488204042595774,0.0018401792783071592,0.1461759487459864,0.03357296026148677,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,NIFTY Midcap 150 TRI,0.11989100971217971,0.009054412621739153,4.043746553634245e-05,0.8295182110189219,0.042041463718133505,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,NIFTY 100 TRI,0.2698375144191807,0.023683558075848626,0.000462543690662385,0.46642651975427446,0.03250786112917388,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,NIFTY Large Midcap 250 TRI,0.20873010086942337,-0.02638771994384303,0.0004859264752797324,0.45537031787419824,0.03533697205783347,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,NIFTY 500 TRI,0.2827036785246582,0.018133884083859218,0.00017488886568129512,0.6542952865906956,0.0404846198772816,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,NIFTY 100 TRI,0.13173190226099432,-0.004050271130006519,1.3227607880850361e-05,0.9019895024405028,0.0328820479997885,1149
149323,DSP Midcap Fund - Regular - Growth,Equity,NIFTY Midcap 150 TRI,0.26598577542043045,-0.0025230046646992563,3.3579781920088836e-06,0.950524770626866,0.040653381887808544,1149
149324,DSP Small Cap Fund - Regular - Growth,Equity,BSE 250 SmallCap TRI,0.3005787817097677,0.011455159960520721,3.5329906267955714e-05,0.8404935891843298,0.056903703736950015,1149
